Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /product,3131,0,45,47.05066707424572,33.35520904511213,159.55354098696262,51.12999041839668,26.252933842060717,0.0,45,47,49,49,52,56,97,110,160,160,160
POST,POST /shopping-cart,569,0,49,52.393835758125846,36.37820796575397,112.86416696384549,23.620386643233743,4.770973924028281,0.0,49,51,53,54,59,93,100,110,110,110,110
POST,POST /shopping-carts/{id}/addItem,1154,0,50,50.448115307561714,39.72612495999783,65.58449997100979,0.0,9.676105287045054,0.0,50,53,54,55,57,59,61,62,64,66,66
POST,POST /shopping-carts/{id}/checkout,569,0,52,52.223483444459944,35.48962494824082,80.1761670736596,21.330404217926187,4.770973924028281,0.0,52,54,56,56,58,60,63,64,80,80,80
,Aggregated,5423,0,47,48.8770087222314,33.35520904511213,159.55354098696262,34.2365849160981,45.47098697716233,0.0,47,50,51,53,56,59,88,100,140,160,160
