Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /product,104,0,11,14.115030948932354,5.4683685302734375,59.384822845458984,18.0,13.616370424735937,0.0,11,13,14,17,20,32,51,54,59,59,59
POST,POST /shopping-cart,552,0,2,3.3316150091696475,0.885009765625,31.855106353759766,25.0,72.27150456205997,0.0,2,3,4,5,7,9,11,14,32,32,32
POST,POST /shopping-carts/{id}/addItem,1109,0,2,2.6569996361693784,0.7839202880859375,25.533199310302734,0.0,145.19764231761687,0.0,2,2,3,4,5,7,9,11,17,26,26
POST,POST /shopping-carts/{id}/checkout,552,0,2,3.42729471731877,1.0018348693847656,29.983997344970703,22.17391304347826,72.27150456205997,0.0,2,3,4,5,7,9,14,16,30,30,30
,Aggregated,2317,0,2,3.5155347363929272,0.7839202880859375,59.384822845458984,12.04661199827363,303.35702186647273,0.0,2,3,4,5,7,10,14,17,51,59,59
