Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763431251,226,,Aggregated,2448.000000,0.000000,34,40,50,59,74,95,120,170,380,520,540,48903,2661,34,45.9478992348304,26.084208977408707,543.0801669717766,18.596077950228004
1763431252,310,,Aggregated,2448.000000,0.000000,34,40,50,59,74,95,120,170,380,520,540,48903,2661,34,45.9478992348304,26.084208977408707,543.0801669717766,18.596077950228004
1763431253,294,,Aggregated,2630.500000,0.000000,34,40,53,61,77,96,120,170,370,500,540,51374,2661,34,46.75072708999283,26.084208977408707,543.0801669717766,18.161599252540196
1763431254,256,,Aggregated,2854.400000,0.000000,35,44,60,65,85,100,130,180,360,500,540,58757,2661,35,48.958855839026114,26.084208977408707,543.0801669717766,17.07352315468795
1763431255,340,,Aggregated,2854.400000,0.000000,35,44,60,65,85,100,130,180,360,500,540,58757,2661,35,48.958855839026114,26.084208977408707,543.0801669717766,17.07352315468795
1763431256,324,,Aggregated,3032.000000,0.000000,36,46,61,67,89,100,130,180,360,490,540,61289,2661,36,49.793754325478105,26.084208977408707,543.0801669717766,16.742482337776764
1763431257,286,,Aggregated,3097.800000,0.000000,37,54,65,71,94,100,140,190,350,490,540,68685,2661,37,52.32683111332621,26.084208977408707,543.0801669717766,15.946596782412463
1763431259,370,,Aggregated,3097.800000,0.000000,37,54,65,71,94,100,140,190,350,490,540,68685,2661,37,52.32683111332621,26.084208977408707,543.0801669717766,15.946596782412463
1763431260,354,,Aggregated,3226.300000,0.000000,37,56,67,73,96,110,150,190,350,490,540,71158,2661,37,53.266403611204275,26.084208977408707,543.0801669717766,15.716827341971388
1763431261,316,,Aggregated,3241.000000,0.000000,39,61,71,80,99,110,170,200,350,490,540,78629,2664,39,55.912106942913034,26.084208977408707,543.0801669717766,15.119701382441592
1763431262,400,,Aggregated,3241.000000,0.000000,39,61,71,80,99,110,170,200,350,490,540,78629,2664,39,55.912106942913034,26.084208977408707,543.0801669717766,15.119701382441592
1763431263,384,,Aggregated,3300.900000,0.300000,39,62,73,83,100,110,180,200,380,540,750,80512,2665,39,57.338874470548284,26.084208977408707,753.05916700745,14.978798191573928
1763431264,346,,Aggregated,3309.200000,0.300000,41,66,79,90,100,130,200,230,460,720,780,86226,2673,41,61.44353934672168,26.084208977408707,776.2674589757808,14.619128801057686
1763431265,430,,Aggregated,3309.200000,0.300000,41,66,79,90,100,130,200,230,460,720,780,86226,2673,41,61.44353934672168,26.084208977408707,776.2674589757808,14.619128801057686
1763431266,414,,Aggregated,3072.700000,1.200000,43,67,82,92,100,130,200,230,460,720,780,88559,2677,43,62.5778455431845,26.084208977408707,776.2674589757808,14.493253085513613
1763431267,376,,Aggregated,3061.300000,3.500000,48,72,89,95,110,140,200,250,450,710,780,95884,2696,48,65.60104576734712,26.084208977408707,776.2674589757808,14.13342163447499
1763431268,460,,Aggregated,3061.300000,3.500000,48,72,89,95,110,140,200,250,450,710,780,95884,2696,48,65.60104576734712,26.084208977408707,776.2674589757808,14.13342163447499
1763431269,444,,Aggregated,3049.000000,3.500000,50,75,91,96,110,150,200,250,450,710,780,98495,2696,50,66.54359372309231,26.084208977408707,776.2674589757808,13.996994771308188
1763431270,406,,Aggregated,3049.000000,3.500000,57,81,94,99,110,150,200,260,440,700,780,105946,2710,57,68.91862410192893,26.084208977408707,776.2674589757808,13.682800672040473
1763431271,490,,Aggregated,3049.000000,3.500000,57,81,94,99,110,150,200,260,440,700,780,105946,2710,57,68.91862410192893,26.084208977408707,776.2674589757808,13.682800672040473
1763431272,474,,Aggregated,3093.100000,3.800000,59,83,94,99,110,160,210,280,460,700,780,108347,2711,59,70.01789254377883,26.084208977408707,776.2674589757808,13.580828264741987
1763431273,436,,Aggregated,3040.300000,4.700000,63,88,97,100,110,170,220,300,490,700,780,116397,2711,63,73.29937920888959,26.084208977408707,776.2674589757808,13.293461171679683
1763431274,520,,Aggregated,3040.300000,4.700000,63,88,97,100,110,170,220,300,490,700,780,116397,2711,63,73.29937920888959,26.084208977408707,776.2674589757808,13.293461171679683
1763431275,504,,Aggregated,3202.500000,4.100000,64,89,97,100,120,170,220,300,490,700,780,119167,2718,64,74.19162582027889,26.084208977408707,776.2674589757808,13.213121082178791
1763431276,466,,Aggregated,3348.000000,4.000000,68,91,99,100,120,190,230,300,490,700,780,127383,2737,68,76.96376506123363,26.084208977408707,776.2674589757808,12.990524638295534
