Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /product,10708,2661,30,32.06952773715365,26.084208977408707,107.9730829806067,51.554258498319015,30.719556106993195,7.633987560768481,30,31,31,31,33,38,82,92,100,110,110
POST,POST /shopping-cart,227478,0,110.0,144.40797565099456,26.786834001541138,2251.020708004944,27.0,652.5983548848149,0.0,110,130,180,190,250,310,400,460,670,2000,2300
POST,POST /shopping-carts/{id}/addItem,795057,0,110.0,144.82535443882017,26.357959024608135,2273.6129999975674,0.0,2280.89261484476,0.0,110,130,190,190,270,310,400,460,630,2100,2300
POST,POST /shopping-carts/{id}/checkout,227478,4197,280.0,275.49723407262104,28.0017500044778,2264.7510840324685,26.89977052725978,652.5983548848149,12.040528294831008,280,300,330,390,490,520,610,680,920,2100,2300
,Aggregated,1260721,6858,110.0,167.3701077594352,26.084208977408707,2273.6129999975674,10.163275617682263,3616.8088807213826,19.674515855599488,110,190,200,210,310,400,500,540,790,2100,2300
